國語,客語,音標,造句,備註
飯炕,飯粒，飯糝,phon55 liap2, phon55 sam31,,
鍋巴,飯瘌,phon55 lat2,,
剩飯,冷飯,len33 phon53,,
食物上澆湯汁,撈，kiau,lo33 kiau31,撈豆油(在食物上澆上醬油),
燒焦的飯,燒結瘌,shieu24 kiet2 lat2,,
燒焦味,臭火燒,chhiu55 fo31 shieu31,,
半生不熟,半生熟,pan53 sang33 shuk5,,
糕,粄,pan31,,
年糕,甜粄,thiam11 pan31,,
發糕,發粄,fat2 pan31,,
蘿蔔糕,菜頭粄,tshoi53 theu11 pan31,,
麵條,麵,mien53,,
豆腐,豆腐,theu55 fu53,,
豆腐渣,豆腐頭,theu55 fu53 theu11,,
瘦肉,靚肉,tsiang24 ngiuk2,,靚字借字音
五花肉,三層肉,sam24 tshen11 ngiuk2,,
頭舌頭,豬舌嬤,chu33 shiet5 ma11,,
香腸,煙腸,jien24 chhiong11,,
豬小腸,粉腸,fun31 chhiong11,,
魚丸,魚圓,ng44 jien11,,
豬血,豬紅,chu24 fung11,,
雞胃,雞khin,ke33 khin33,,
鴨胃,鴨khin,ap2 khin33,,
家禽的內臟,下水,ha55 shui31,,
蛋,卵,lon31,,
聚餐,打teu shi,ta31 teu55 shi53,,
摺被子,褶被,chiap2 phi33,,
穿衣服,著衫褲,chiok2 sam33 khu53,,
穿鞋,著鞋,chiok2 he11,,
穿襪子,著襪,chiok2 mat2,,
漱口,洗喙,se31 choi53,,
擦嘴,拭喙,tshut5 choi53,,
吃飯,食飯,shit5 phon53,,
盛飯,添飯，張飯,thiam33 phon53, chong33 phon53,,
木耳,木米,muk2 mi31,,
配料、佐料,配頭,phui53 theu11,,
鹽,鹽,jiam11,,
醬油,豆油,theu53 jiu11,,
釀酒,kiuk酒,kiuk5 tsiu31,,
醋,醋,tshu53,,
紅糖,赤砂糖,chhiak2 sa24 thong11,,
冰棒,枝冰,ki24 pen33,,
酒精濃度高的酒,釅酒,ngiam11 tsiu31,,
燙髮,電毛,thien53 mo33,,
洗衣,洗衫,se31 sam33,,
將衣服浸泡在水中,浸衫，漂衫,tsim53 sam33, phiau53 sam33,,
晒衣服,晒衫褲,sai53 sam33 khu53,,
燙衣服,熨衫褲,vut2 sam33 khu53,,
乘涼,吹涼,chhoi24 liong11,,
放暑假,燎涼,liau53 liong11,,
漫步,彳亍,chhit2 chhiok2,打彳亍,
回娘家,轉妹家,chion31 moi53 ka33,,
呼吸,theu氣,theu31 khi53,,
休息,歇睏,hiet2 khun53,,
嘆氣,theu大氣,theu31 thai55 khi53,,
睡覺,睡目,shoi55 muk2,,
菜餚合口味，很下飯,爽口，扯飯,song31 khieu31, chhia31 phon53,,扯字借字音
吃早飯,食朝,shit5 chieu33,,
吃午飯,食(當)晝,shit5 (tong11) chiu53,,
吃晚飯,食夜,shit5 jia53,,
吃素,食齋,shit5 tsai33,,
吃肉類食品,食葷,shit5 fun33,,
喝茶,食茶,shit5 tsha11,,
抽煙,食煙，pop煙,shit5 jien33,pop5 jien33,,
煙灰,煙屎,jien24 shi31,,
肚子空空,空心肚,khun33 sim24 tu31,,
吃點心,食點心,shit5 tiam31 sim33,,
刮鬍子,khau鬚,khau11 si33,,
刮臉,修面,siu33 mien53,,
住宿,歇(夜)，過夜,hiet2(jia53), ko55 jia53,,
大便,屙屎,o24 shi31,,
小便,屙尿,o24 ngiau53,,
尿床,lai11尿,lai11 ngiau53,,
放屁,打臭屁，打屁卵,ta31 chhiu55 phi53, ta31 phi55 lon31,,
打噴嚏,打哈啾,ta31 hak5 chhiu53,,
器,叫,kieu53,,
流眼淚,流目汁,liu11 muk2 chip2,,
小孩吵鬧煩人,蹻人,khiau44 ngin11,,蹻字借字音
拐小孩,拐細人,kuai31 se53 ngin11,,
小心,細膩,se55 ngi53,,
留神、留心,驚心,kiang33 sim33,,
忘記,毋記得,m11 ki55 tet2,,
籬笆,籬笆，牆圍,li11 pa33, tshiong44 vui11,,
佯裝,詐,tsa53,詐毋知,
打嗝,打噎,ta31 et5,,
打赤膊,打赤膊,ta31 chiak2 pok2,,
熬夜,熬夜,ngok5 jia53,,
煩憂,煩愁,fan44 seu11,,
打瞌睡,啄目睡,tuk2 muk2 shoi53,,啄亦寫作「督」、「獨」
眨眼,眨目,ngiap2 muk2,,
閉著眼睛,目珠咪咪,muk2 chu33 mi33 mi33,,
關鎖門戶,閂門,son24 mun11,,
睡午覺,睡當覺,shoi53 tong33 chiu53,,
睡不知醒,死睡,si31 shoi53,,
